20 15
32 32
94
1
1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1
1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1
1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1
0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1
0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1
0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0
1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0
0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0
0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0
0	0	1	1	-5	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0
