20 17
32 32
105
0
2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0
1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0
1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0
0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0
0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0
0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0
0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-6	0
0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0
0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0
0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0
0	0	1	-4	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
